Name,Team,Nac.,Age,Height,Preffoot,Position,Number,ValuePlayer,matchesTotal,matchesStarting,minutesPerGame,goals,goalsFrequency,goalsAverage,totalShotsPerGame,bigChanceMissed,assists,touches,bigChanceCreated,keyPasses,accuratePassesPerGame,successfulPassesOwnHalf,successfulPassesOppositionHalf,successfulLongPasses,accurateChippedPasses,successfulCrossesAndCorners,interceptionsPerGame,tacklesPerGame,possessionWonFinalThird,challengesLostPerGame,totalClearancesPerGame,errorLeadToAShot,errorLeadToaGoal,penaltiesConceded,successfulDribblesPerGame,duelsWonPerGame,groundDuelsWonPerGame,aerialDuelsWonPerGame,possessionLost,fouls,wasFouled,offsides,yellowCards,yellowRedCards,redCards
michel-herrero,Real Valladolid,ESP,31,180 cm,Right,M,21,2.1M €,24,22,74,1,1787 min,0.04,0.2,0,1,61.6,3,1.0,38.5 (81%),18.8 (87%),20.4 (70%),4.8 (60%),3.4 (56%),0.7 (20%),1.2,1.7,0.4,1.8,1.3,1,0,0,0.6 (68%),3.4 (40%),2.9 (41%),0.5 (35%),14.2,1.1,0.5,0.1,4,0,0
pablo-hervias,Real Valladolid,ESP,27,174 cm,Right,M,11,775K €,14,4,35,1,484 min,0.07,0.6,0,0,20.4,1,0.6,9.6 (84%),3.8 (85%),6.4 (67%),0.2 (50%),0.1 (20%),0.6 (23%),0.1,0.4,0.2,0.5,0.0,0,0,0,1.1 (63%),2.7 (49%),2.4 (52%),0.4 (36%),6.0,0.4,0.9,0.1,0,0,0
mohammed-salisu,Real Valladolid,GHA,20,191 cm,Left,D,27,9.2M €,27,26,88,1,2366 min,0.04,0.1,0,1,48.3,0,0.0,29.6 (80%),21.1 (87%),8.5 (67%),2.4 (40%),1.1 (37%),0.0 (100%),1.1,1.4,0.0,0.5,5.0,2,1,1,0.3 (100%),4.5 (60%),2.0 (60%),2.5 (59%),8.1,0.7,0.4,0.0,2,0,0
pedro-porro,Real Valladolid,ESP,20,176 cm,Both,D,2,9.2M €,13,7,56,0,0.0,0.1,0,0,39.2,0,0.3,13.1 (66%),6.5 (73%),6.8 (51%),1.8 (46%),1.5 (54%),0.3 (12%),0.5,1.4,0.0,0.6,1.2,0,1,0,1.0 (65%),3.7 (56%),3.2 (59%),0.5 (43%),12.7,0.3,0.9,0.0,1,0,0,
nacho-martinez,Real Valladolid,ESP,31,174 cm,Left,D,22,4.8M €,14,14,84,0,0.0,0.2,0,2,65.1,2,1.1,27.0 (71%),11.9 (77%),15.5 (60%),2.7 (36%),2.2 (44%),0.4 (14%),1.1,2.3,0.4,1.6,2.6,0,0,0,0.5 (47%),3.9 (45%),3.3 (46%),0.6 (40%),17.0,1.4,0.5,0.1,2,0,0,
kiko-olivas,Real Valladolid,ESP,31,184 cm,Right,D,4,2.6M €,27,27,90,1,2430 min,0.04,0.2,0,0,49.8,0,0.1,33.8 (87%),24.3 (93%),9.5 (74%),2.5 (50%),1.9 (48%),0.0 (0%),1.8,1.0,0.0,0.7,3.2,1,0,1,0.3 (78%),3.6 (57%),2.1 (62%),1.5 (51%),6.0,0.4,0.9,0.1,1,0,0
javi-sanchez,Real Valladolid,ESP,23,189 cm,Right,D,5,1.4M €,1,0,45,0,0.0,0.0,0,0,13.0,0,0.0,7.0 (88%),6.0 (100%),1.0 (50%),2.0 (67%),1.0 (100%),0.0 (0%),0.0,1.0,0.0,0.0,4.0,0,0,0,0.0 (0%),4.0 (57%),1.0 (33%),3.0 (75%),1.0,2.0,0.0,0.0,1,0,0,
raul-garcia,Real Valladolid,ESP,30,175 cm,Left,D,6,1M €,11,10,80,0,0.0,0.5,0,1,55.5,1,0.9,18.0 (70%),8.9 (80%),10.8 (51%),1.5 (29%),1.2 (37%),1.7 (26%),0.5,2.0,0.1,0.9,1.5,0,0,0,0.7 (57%),4.5 (56%),3.4 (56%),1.2 (57%),17.2,0.8,0.6,0.0,2,0,0,
antonito,Real Valladolid,ESP,32,174 cm,Right,D,18,910K €,9,6,58,0,0.0,0.0,0,0,33.7,1,0.4,12.9 (72%),5.1 (82%),8.2 (59%),0.4 (25%),0.7 (43%),0.4 (19%),1.2,1.1,0.3,0.7,0.7,1,0,0,0.2 (29%),2.4 (51%),1.9 (46%),0.6 (83%),9.8,0.6,0.6,0.1,1,0,0,
javi-moyano,Real Valladolid,ESP,34,179 cm,Right,D,17,840K €,19,19,84,0,0.0,0.2,0,0,50.1,1,0.6,22.6 (73%),11.0 (77%),11.9 (66%),1.2 (27%),1.1 (35%),0.3 (23%),0.7,0.7,0.1,0.6,1.9,0,0,1,0.6 (86%),3.5 (52%),2.2 (53%),1.3 (50%),12.2,0.8,0.8,0.0,3,0,0,
jordi-masip,Real Valladolid,ESP,31,180 cm,Right,G,1,6.4M €,27,27,90,0,0.0,0.0,0,0,34.3,0,0.0,13.1 (49%),7.3 (78%),5.8 (33%),8.0 (37%),1.1 (44%),0.0 (0%),0.0,0.0,0.0,0.1,0.3,0,3,0,0.0 (0%),0.2 (63%),0.1 (50%),0.1 (75%),14.1,0.0,0.0,0.0,2,0,0,
jose-antonio-caro,Real Valladolid,ESP,25,194 cm,G,13,None,580K €,1,1,54,0,0.0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iago-aspas,Celta Vigo,ESP,32,176 cm,Left,F,10,19.4M €,26,26,90,9,259 min,0.3,2.0,9,2,50.9,5,1.4,27.4 (78%),8.8 (87%),18.7 (74%),1.1 (60%),1.0 (58%),0.2 (22%),0.5,0.8,0.4,0.8,0.2,0,0,0,1.6 (60%),5.2 (50%),4.3 (54%),0.8 (36%),13.1,0.8,1.9,0.6,5,0,0
santi-mina,Celta Vigo,ESP,24,182 cm,Right,F,22,18.6M €,24,15,58,3,465 min,0.1,1.3,7,2,30.4,5,0.6,13.0 (69%),3.6 (77%),9.5 (64%),0.3 (54%),0.6 (63%),0.2 (21%),0.3,0.4,0.2,0.9,0.8,0,0,0,0.5 (46%),5.0 (41%),1.9 (33%),3.0 (49%),10.3,1.5,1.1,0.3,4,0,0
fedor-smolov,Celta Vigo,RUS,30,187 cm,Right,F,9,9.3M €,6,5,60,1,362 min,0.2,0.7,0,0,26.3,0,0.3,10.2 (68%),4.5 (82%),5.7 (55%),0.0 (0%),0.2 (17%),0.0 (0%),0.8,0.0,0.2,1.0,0.5,0,0,0,0.8 (45%),2.8 (27%),1.3 (26%),1.5 (29%),9.8,1.2,0.5,0.8,2,0,0
pione-sisto,Celta Vigo,DEN,25,171 cm,Right,F,11,5.7M €,19,7,41,2,390 min,0.1,1.1,2,0,31.4,0,0.4,15.4 (82%),6.5 (87%),9.1 (69%),0.8 (83%),0.5 (53%),0.3 (14%),0.2,0.8,0.3,0.7,0.1,0,0,0,1.1 (77%),3.2 (52%),2.9 (53%),0.2 (44%),8.6,0.4,1.2,0.3,2,0,0
gabriel-fernandez,Celta Vigo,URU,25,186 cm,Right,F,19,3.1M €,16,5,33,1,523 min,0.06,0.4,1,1,11.1,1,0.1,3.8 (64%),0.9 (74%),2.9 (60%),0.2 (75%),0.1 (33%),0.0 (0%),0.1,0.1,0.1,0.1,0.1,0,0,0,0.4 (78%),2.2 (38%),0.9 (35%),1.3 (41%),4.5,0.9,0.4,0.3,3,1,0
